【  卫视频道  】,#genre#
东北_西藏卫视_联通,http://116.95.218.18:9999/udp/239.125.1.117:4130
东北_西藏卫视_联通,http://116.116.207.159:5555/udp/239.125.1.117:4130
东北_西藏卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.114:1234
东北_西藏卫视_联通,http://1.26.27.107:9999/udp/239.125.1.117:4130
东北_西藏卫视（藏语）_联通,http://116.2.48.244:6000/rtp/232.0.0.104:1234
东北_贵州卫视_电信,http://123.179.59.173:8888/udp/239.29.0.104:5000
东北_贵州卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.157:5540
东北_贵州卫视_联通,http://1.26.27.107:9999/udp/239.125.2.80:4120
东北_贵州卫视_联通,http://116.95.218.18:9999/udp/239.125.1.158:4130
东北_贵州卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.181:1234
东北_贵州卫视_联通,http://116.95.218.18:9999/udp/239.125.2.80:4120
东北_贵州卫视_联通,http://1.26.27.107:9999/udp/239.125.1.158:4130
东北_贵州卫视_联通,http://116.116.207.159:5555/udp/239.125.1.158:4130
东北_贵州卫视_联通,http://116.116.207.159:5555/udp/239.125.2.80:4120
东北_辽宁卫视_电信,http://123.179.59.173:8888/udp/239.29.0.109:5000
东北_辽宁卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.044:5540
东北_辽宁卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.160:5540
东北_辽宁卫视_联通,http://116.95.218.18:9999/udp/239.125.2.72:4120
东北_辽宁卫视_联通,http://1.26.27.107:9999/udp/239.125.2.72:4120
东北_辽宁卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.126:1234
东北_辽宁卫视_联通,http://116.116.207.159:5555/udp/239.125.2.72:4120
东北_辽宁卫视_联通,http://116.116.207.159:5555/udp/239.125.1.115:4130
东北_辽宁卫视_联通,http://116.95.218.18:9999/udp/239.125.1.115:4130
东北_重庆卫视_电信,http://123.179.59.173:8888/udp/239.29.0.99:5000
东北_重庆卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.158:5540
东北_重庆卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.186:1234
东北_重庆卫视_联通,http://1.26.27.107:9999/udp/239.125.1.168:4130
东北_重庆卫视_联通,http://116.95.218.18:9999/udp/239.125.1.168:4130
东北_重庆卫视_联通,http://116.116.207.159:5555/udp/239.125.1.168:4130
东北_陕西卫视_电信,http://123.179.59.173:8888/udp/239.29.1.86:5001
东北_陕西卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.045:5540
东北_陕西卫视_联通,http://116.116.207.159:5555/udp/239.125.1.155:4130
东北_陕西卫视_联通,http://116.95.218.18:9999/udp/239.125.1.155:4130
东北_陕西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.35:1234
东北_青海卫视_电信,http://123.179.59.173:8888/udp/239.29.1.87:5001
东北_青海卫视_联通,http://116.116.207.159:5555/udp/239.125.1.150:4130
东北_青海卫视_联通,http://116.95.218.18:9999/udp/239.125.1.150:4130
东北_青海卫视_联通,http://1.26.27.107:9999/udp/239.125.1.150:4130
东北_青海卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.101:1234
东北_黑龙江卫视_电信,http://123.179.59.173:8888/udp/239.29.0.91:5000
东北_黑龙江卫视_联通,http://116.116.207.159:5555/udp/239.125.2.83:4120
东北_黑龙江卫视_联通,http://1.26.27.107:9999/udp/239.125.2.83:4120
东北_黑龙江卫视_联通,http://116.95.218.18:9999/udp/239.125.2.83:4120
东北_黑龙江卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.95:1234
东北_黑龙江卫视_联通,http://116.116.207.159:5555/udp/239.125.1.171:4130
东北_黑龙江卫视_联通,http://1.26.27.107:9999/udp/239.125.1.171:4130
东北_黑龙江卫视_联通,http://116.95.218.18:9999/udp/239.125.1.171:4130
东南卫视_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视12M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
东方卫视3M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8
东方卫视_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
云南卫视_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
兵团卫视_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
内蒙古卫视_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
凤凰卫视中文移动_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰卫视资讯移动_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
北京卫视12M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
北京卫视3M1080_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
华东_三沙卫视_电信,http://36.5.100.28:4022/rtp/238.1.78.27:6144
华东_三沙卫视_电信,http://117.66.232.100:2000/rtp/238.1.78.27:6144
华东_东南卫视_电信,http://125.126.87.78:9999/rtp/233.50.201.146:5140
华东_东南卫视_电信,http://14.154.193.230:4022/udp/239.77.1.104:5146
华东_东南卫视_电信,http://122.233.239.30:9999/rtp/233.50.201.146:5140
华东_东南卫视_电信,http://36.5.100.28:4022/rtp/238.1.78.22:6104
华东_东南卫视_电信,http://117.66.232.100:2000/rtp/238.1.78.22:6104
华东_东南卫视_电信,http://218.71.45.167:9999/rtp/233.50.201.146:5140
华东_东南卫视_电信,http://125.125.40.20:8000/rtp/233.50.201.146:5140
华东_东南卫视_电信,http://220.189.92.253:9999/rtp/233.50.201.146:5140
华东_东南卫视_电信,http://115.205.189.231:8000/rtp/233.50.201.146:5140
华东_东南卫视_电信,http://113.138.135.67:8001/rtp/239.112.205.182:5140
华东_东南卫视_电信,http://182.46.8.161:8018/hls/55/index.m3u8
华东_东南卫视_联通,http://119.166.7.60:6666/udp/239.253.254.105:8000
华东_东方卫视_电信,http://14.154.193.230:4022/udp/239.77.1.156:5146
华东_东方卫视_电信,http://220.189.92.253:9999/rtp/233.50.201.125:5140
华东_东方卫视_电信,http://36.5.100.28:4022/rtp/238.1.78.163:7176
华东_东方卫视_电信,http://14.154.193.230:4022/udp/239.77.1.218:5146
华东_东方卫视_电信,http://117.66.232.100:2000/rtp/238.1.78.163:7176
华东_东方卫视_电信,http://14.154.193.230:4022/udp/239.77.0.98:5146
华东_东方卫视_电信,http://125.126.87.78:9999/rtp/233.50.201.125:5140
