【  央视_电信  】,#genre#
河北卫视_联通,http://183.92.4.163:4000/udp/228.0.0.168:7168
河南卫视_联通,http://183.92.4.163:4000/udp/228.0.0.230:6108
浙江卫视_联通,http://183.92.4.163:4000/udp/228.0.0.65:6108
海南卫视_联通,http://183.92.4.163:4000/udp/228.0.0.165:7165
深圳卫视_联通,http://183.92.4.163:4000/udp/228.0.0.67:6108
湖北卫视_联通,http://183.92.4.163:4000/udp/228.0.0.60:6108
湖北卫视_联通,http://183.92.4.163:4000/udp/228.0.0.232:6108
湖南卫视_联通,http://183.92.4.163:4000/udp/228.0.0.61:6108
甘肃卫视_联通,http://183.92.4.163:4000/udp/228.0.0.57:6108
西藏卫视_联通,http://183.92.4.163:4000/udp/228.0.0.51:6108
贵州卫视_联通,http://183.92.4.163:4000/udp/228.0.0.160:7160
辽宁卫视_联通,http://183.92.4.163:4000/udp/228.0.0.123:6108
重庆卫视_联通,http://183.92.4.163:4000/udp/228.0.0.159:7159
陕西卫视_联通,http://183.92.4.163:4000/udp/228.0.0.56:6108
青海卫视_联通,http://183.92.4.163:4000/udp/228.0.0.54:6108
黑龙江卫视_联通,http://183.92.4.163:4000/udp/228.0.0.68:6108
【  卫视_移动  】,#genre#
【  其他_电信  】,#genre#
CETV1_电信,http://59.174.169.143:10000/rtp/239.69.1.110:10298
CETV1_电信,http://27.18.190.49:85/rtp/239.69.1.110:10298
CETV1_电信,http://119.98.183.124:8000/rtp/239.69.1.110:10298
爱上4K_电信,http://59.174.169.143:10000/rtp/239.69.1.141:10482
爱上4K_电信,http://27.18.190.49:85/rtp/239.69.1.141:10482
爱上4K_电信,http://119.98.183.124:8000/rtp/239.69.1.141:10482
CGTN法语_电信,http://27.18.190.49:85/rtp/239.69.1.235:11052
CGTN法语_电信,http://59.174.169.143:10000/rtp/239.69.1.235:11052
CGTN法语_电信,http://119.98.183.124:8000/rtp/239.69.1.235:11052
CGTN西班牙语_电信,http://27.18.190.49:85/rtp/239.69.1.234:11046
CGTN西班牙语_电信,http://59.174.169.143:10000/rtp/239.69.1.234:11046
CGTN西班牙语_电信,http://119.98.183.124:8000/rtp/239.69.1.234:11046
CGTN记录片_电信,http://59.174.169.143:10000/rtp/239.69.1.233:11040
CGTN记录片_电信,http://27.18.190.49:85/rtp/239.69.1.233:11040
CGTN记录片_电信,http://119.98.183.124:8000/rtp/239.69.1.233:11040
CHC动作电影_电信,http://59.174.169.143:10000/rtp/239.69.1.242:11094
CHC动作电影_电信,http://27.18.190.49:85/rtp/239.69.1.242:11094
CHC动作电影_电信,http://119.98.183.124:8000/rtp/239.69.1.242:11094
CHC家庭影院_电信,http://27.18.190.49:85/rtp/239.69.1.243:11100
CHC家庭影院_电信,http://119.98.183.124:8000/rtp/239.69.1.243:11100
CHC家庭影院_电信,http://59.174.169.143:10000/rtp/239.69.1.243:11100
CHC电影_电信,http://27.18.190.49:85/rtp/239.69.1.241:11088
CHC电影_电信,http://119.98.183.124:8000/rtp/239.69.1.241:11088
CHC电影_电信,http://59.174.169.143:10000/rtp/239.69.1.241:11088
中文国际欧洲_电信,http://27.18.190.49:85/rtp/239.69.1.231:11028
中文国际欧洲_电信,http://119.98.183.124:8000/rtp/239.69.1.231:11028
中文国际欧洲_电信,http://59.174.169.143:10000/rtp/239.69.1.231:11028
中文国际美洲_电信,http://59.174.169.143:10000/rtp/239.69.1.232:11034
中文国际美洲_电信,http://27.18.190.49:85/rtp/239.69.1.232:11034
中文国际美洲_电信,http://119.98.183.124:8000/rtp/239.69.1.232:11034
卡酷少儿_电信,http://119.98.183.124:8000/rtp/239.69.1.193:10800
卡酷少儿_电信,http://27.18.190.49:85/rtp/239.69.1.193:10800
快乐垂钓_电信,http://59.174.169.143:10000/rtp/239.69.1.142:10488
快乐垂钓_电信,http://27.18.190.49:85/rtp/239.69.1.142:10488
快乐垂钓_电信,http://119.98.183.124:8000/rtp/239.69.1.142:10488
房县综合_电信,http://119.98.183.124:8000/rtp/239.69.1.192:10794
房县综合_电信,http://59.174.169.143:10000/rtp/239.69.1.192:10794
房县综合_电信,http://27.18.190.49:85/rtp/239.69.1.192:10794
梨园_电信,http://59.174.169.143:10000/rtp/239.69.1.33:9838
梨园_电信,http://27.18.190.49:85/rtp/239.69.1.33:9838
梨园_电信,http://119.98.183.124:8000/rtp/239.69.1.33:9838
武术世界_电信,http://59.174.169.143:10000/rtp/239.69.1.47:9922
武术世界_电信,http://27.18.190.49:85/rtp/239.69.1.47:9922
武术世界_电信,http://119.98.183.124:8000/rtp/239.69.1.47:9922
武汉一台新闻综合_电信,http://27.18.190.49:85/rtp/239.69.1.145:10506
武汉一台新闻综合_电信,http://119.98.183.124:8000/rtp/239.69.1.145:10506
武汉一台新闻综合_电信,http://59.174.169.143:10000/rtp/239.69.1.145:10506
武汉三台科技生活_电信,http://27.18.190.49:85/rtp/239.69.1.251:11148
武汉三台科技生活_电信,http://119.98.183.124:8000/rtp/239.69.1.251:11148
武汉二台电视剧_电信,http://27.18.190.49:85/rtp/239.69.1.146:10512
武汉二台电视剧_电信,http://59.174.169.143:10000/rtp/239.69.1.146:10512
武汉二台电视剧_电信,http://119.98.183.124:8000/rtp/239.69.1.146:10512
武汉五台文体_电信,http://59.174.169.143:10000/rtp/239.69.1.147:10518
